industrial_risk,management_risk,financial_flexibility,credibility,competitiveness,operating_risk,class,class_yn,financial_health_score,management_impact_score,risk_stability_ratio,risk_volatility,financial_stability,risk_financial_ratio,management_financial_risk,operational_sustainability,compound_risk,financial_x_management,risk_x_operational
0.5,1.0,0.0,0.0,0.0,0.5,bankruptcy,0,0.0,1.0,0.0,0.28867513459481287,0.0,0.6666666666666666,10.0,0.0,0.3333333333333333,0.0,0.14433756729740643
0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,1.0,0.0,0.5773502691896258,0.0,0.6666666666666666,10.0,0.0,0.6666666666666666,0.0,0.5773502691896258
1.0,0.0,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,0.0,0.0,0.5773502691896258,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.5773502691896258
0.5,0.0,0.0,0.5,0.0,1.0,bankruptcy,0,0.16666666666666666,0.0,0.5,0.5,0.15,0.42857142857142855,0.0,0.0,0.3333333333333333,0.0,0.5
1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,0.5,0.0,0.5,bankruptcy,0,0.16666666666666666,0.6666666666666666,0.25,0.28867513459481287,0.15,0.7142857142857143,10.0,0.0,0.6666666666666666,0.16666666666666666,0.14433756729740643
1.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0,0.0,1.0,0.0,0.5773502691896258,0.0,0.6666666666666666,10.0,0.0,0.6666666666666666,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0,0.0,1.0,0.0,0.28867513459481287,0.0,0.8333333333333334,10.0,0.0,0.6666666666666666,0.0,0.14433756729740643
1.0,1.0,0.0,0.5,0.0,0.0,bankruptcy,0,0.16666666666666666,0.6666666666666666,0.25,0.5773502691896258,0.15,0.5714285714285714,10.0,0.0,0.6666666666666666,0.16666666666666666,0.0
1.0,1.0,0.0,0.5,0.0,1.0,bankruptcy,0,0.16666666666666666,0.6666666666666666,0.25,0.0,0.15,0.8571428571428571,10.0,0.0,1.0,0.16666666666666666,0.0
1.0,1.0,0.5,0.0,0.0,1.0,bankruptcy,0,0.16666666666666666,0.6666666666666666,0.25,0.0,0.2,0.8571428571428571,1.6666666666666667,0.0,1.0,0.16666666666666666,0.0
0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,1.0,0.0,0.28867513459481287,0.0,0.8333333333333334,10.0,0.0,0.6666666666666666,0.0,0.28867513459481287
0.0,1.0,0.0,0.0,0.5,0.5,bankruptcy,0,0.16666666666666666,1.0,0.0,0.5,0.15,0.42857142857142855,10.0,0.125,0.3333333333333333,0.16666666666666666,0.25
0.5,0.5,0.0,0.0,0.0,0.0,bankruptcy,0,0.0,0.5,0.0,0.2886751345948129,0.0,0.3333333333333333,5.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.5,bankruptcy,0,0.0,0.5,0.0,0.2886751345948129,0.0,0.3333333333333333,5.0,0.0,0.0,0.0,0.14433756729740646
0.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0,0.0,1.0,0.0,0.5773502691896258,0.0,0.3333333333333333,10.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,0.5,0.0,0.5,0.0,0.5,5.0,0.0,0.3333333333333333,0.0,0.5
1.0,0.5,0.0,0.0,0.0,0.0,bankruptcy,0,0.0,0.5,0.0,0.5,0.0,0.5,5.0,0.0,0.3333333333333333,0.0,0.0
0.5,0.5,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,0.5,0.0,0.28867513459481287,0.0,0.6666666666666666,5.0,0.0,0.3333333333333333,0.0,0.28867513459481287
0.0,0.0,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,0.0,0.0,0.5773502691896258,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.5773502691896258
0.5,0.0,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.5
1.0,0.5,0.0,0.0,0.0,1.0,bankruptcy,0,0.0,0.5,0.0,0.28867513459481287,0.0,0.8333333333333334,5.0,0.0,0.6666666666666666,0.0,0.28867513459481287
1.0,1.0,0.0,1.0,0.0,0.0,bankruptcy,0,0.3333333333333333,0.5,0.5,0.5773502691896258,0.3,0.5,10.0,0.0,0.6666666666666666,0.3333333333333333,0.0
1.0,1.0,0.0,1.0,0.0,1.0,bankruptcy,0,0.3333333333333333,0.5,0.5,0.0,0.3,0.75,10.0,0.0,1.0,0.3333333333333333,0.0
1.0,0.5,1.0,0.5,0.0,0.0,bankruptcy,0,0.5,0.2,1.0,0.5,0.55,0.3333333333333333,0.45454545454545453,0.5,0.3333333333333333,0.25,0.0
0.0,0.0,0.5,0.5,0.5,0.0,non-bankruptcy,1,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
1.0,1.0,0.5,0.5,0.5,1.0,non-bankruptcy,1,0.5,0.5,0.5,0.0,0.5,0.6666666666666666,1.6666666666666667,0.0,1.0,0.5,0.0
0.5,0.5,0.5,0.5,0.5,0.5,non-bankruptcy,1,0.5,0.25,0.6666666666666666,0.0,0.5,0.3333333333333333,0.8333333333333334,0.25,0.0,0.25,0.0
0.0,0.0,1.0,1.0,1.0,0.0,non-bankruptcy,1,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,non-bankruptcy,1,1.0,0.3333333333333333,1.0,0.0,1.0,0.5,0.9090909090909091,0.0,1.0,1.0,0.0
0.5,0.5,1.0,1.0,1.0,0.5,non-bankruptcy,1,1.0,0.16666666666666666,1.3333333333333333,0.0,1.0,0.25,0.45454545454545453,0.5,0.0,0.5,0.0
0.0,0.0,0.5,1.0,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.0,1.5,0.0,0.8,0.0,0.0,0.75,0.0,0.0,0.0
0.0,0.0,1.0,0.5,0.5,0.0,non-bankruptcy,1,0.6666666666666666,0.0,1.5,0.0,0.7000000000000001,0.0,0.0,0.75,0.0,0.0,0.0
0.0,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1,0.6666666666666666,0.0,1.5,0.0,0.65,0.0,0.0,0.5,0.0,0.0,0.0
0.0,0.0,0.5,0.5,1.0,0.0,non-bankruptcy,1,0.6666666666666666,0.0,1.0,0.0,0.6499999999999999,0.0,0.0,0.75,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.5,0.0,non-bankruptcy,1,0.8333333333333334,0.0,2.0,0.0,0.85,0.0,0.0,0.75,0.0,0.0,0.0
0.0,0.0,1.0,0.5,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.0,1.5,0.0,0.8500000000000001,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,0.5,1.0,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.4,0.75,0.0,0.8,0.5454545454545454,1.6666666666666667,0.0,1.0,0.8333333333333334,0.0
1.0,1.0,1.0,0.5,0.5,1.0,non-bankruptcy,1,0.6666666666666666,0.4,0.75,0.0,0.7000000000000001,0.6000000000000001,0.9090909090909091,0.0,1.0,0.6666666666666666,0.0
1.0,1.0,0.5,1.0,0.5,1.0,non-bankruptcy,1,0.6666666666666666,0.4,0.75,0.0,0.65,0.6000000000000001,1.6666666666666667,0.0,1.0,0.6666666666666666,0.0
1.0,1.0,0.5,0.5,1.0,1.0,non-bankruptcy,1,0.6666666666666666,0.5,0.5,0.0,0.6499999999999999,0.6000000000000001,1.6666666666666667,0.0,1.0,0.6666666666666666,0.0
1.0,1.0,1.0,1.0,0.5,1.0,non-bankruptcy,1,0.8333333333333334,0.3333333333333333,1.0,0.0,0.85,0.5454545454545454,0.9090909090909091,0.0,1.0,0.8333333333333334,0.0
1.0,1.0,1.0,0.5,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.4,0.75,0.0,0.8500000000000001,0.5454545454545454,0.9090909090909091,0.0,1.0,0.8333333333333334,0.0
0.5,0.5,0.5,1.0,1.0,0.5,non-bankruptcy,1,0.8333333333333334,0.2,1.0,0.0,0.8,0.2727272727272727,0.8333333333333334,0.375,0.0,0.4166666666666667,0.0
0.5,0.5,1.0,0.5,0.5,0.5,non-bankruptcy,1,0.6666666666666666,0.2,1.0,0.0,0.7000000000000001,0.30000000000000004,0.45454545454545453,0.375,0.0,0.3333333333333333,0.0
0.5,0.5,0.5,1.0,0.5,0.5,non-bankruptcy,1,0.6666666666666666,0.2,1.0,0.0,0.65,0.30000000000000004,0.8333333333333334,0.25,0.0,0.3333333333333333,0.0
0.5,0.5,0.5,0.5,1.0,0.5,non-bankruptcy,1,0.6666666666666666,0.25,0.6666666666666666,0.0,0.6499999999999999,0.30000000000000004,0.8333333333333334,0.375,0.0,0.3333333333333333,0.0
0.5,0.5,1.0,1.0,0.5,0.5,non-bankruptcy,1,0.8333333333333334,0.16666666666666666,1.3333333333333333,0.0,0.85,0.2727272727272727,0.45454545454545453,0.375,0.0,0.4166666666666667,0.0
0.5,0.5,1.0,0.5,1.0,0.5,non-bankruptcy,1,0.8333333333333334,0.2,1.0,0.0,0.8500000000000001,0.2727272727272727,0.45454545454545453,0.5,0.0,0.4166666666666667,0.0
0.0,1.0,0.5,0.5,0.5,0.0,non-bankruptcy,1,0.5,0.5,0.5,0.5773502691896258,0.5,0.2222222222222222,1.6666666666666667,0.5,0.3333333333333333,0.5,0.0
1.0,0.0,0.5,0.5,0.5,1.0,non-bankruptcy,1,0.5,0.0,1.0,0.5773502691896258,0.5,0.4444444444444444,0.0,0.0,0.6666666666666666,0.0,0.5773502691896258
0.0,1.0,0.5,0.5,0.5,1.0,non-bankruptcy,1,0.5,0.5,0.5,0.5773502691896258,0.5,0.4444444444444444,1.6666666666666667,0.0,0.6666666666666666,0.5,0.5773502691896258
0.0,1.0,1.0,1.0,1.0,0.0,non-bankruptcy,1,1.0,0.3333333333333333,1.0,0.5773502691896258,1.0,0.16666666666666666,0.9090909090909091,1.0,0.3333333333333333,1.0,0.0
1.0,0.0,1.0,1.0,1.0,1.0,non-bankruptcy,1,1.0,0.0,2.0,0.5773502691896258,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.5773502691896258
0.0,1.0,1.0,1.0,1.0,1.0,non-bankruptcy,1,1.0,0.3333333333333333,1.0,0.5773502691896258,1.0,0.3333333333333333,0.9090909090909091,0.0,0.6666666666666666,1.0,0.5773502691896258
1.0,1.0,0.5,1.0,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.4,0.75,0.5773502691896258,0.8,0.3636363636363636,1.6666666666666667,0.75,0.6666666666666666,0.8333333333333334,0.0
0.0,1.0,1.0,0.5,0.5,0.0,non-bankruptcy,1,0.6666666666666666,0.4,0.75,0.5773502691896258,0.7000000000000001,0.2,0.9090909090909091,0.75,0.3333333333333333,0.6666666666666666,0.0
1.0,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1,0.6666666666666666,0.0,1.5,0.5773502691896258,0.65,0.2,0.0,0.5,0.3333333333333333,0.0,0.0
1.0,0.0,0.5,0.5,1.0,1.0,non-bankruptcy,1,0.6666666666666666,0.0,1.0,0.5773502691896258,0.6499999999999999,0.4,0.0,0.0,0.6666666666666666,0.0,0.5773502691896258
0.0,1.0,1.0,1.0,0.5,1.0,non-bankruptcy,1,0.8333333333333334,0.3333333333333333,1.0,0.5773502691896258,0.85,0.3636363636363636,0.9090909090909091,0.0,0.6666666666666666,0.8333333333333334,0.5773502691896258
1.0,0.0,1.0,0.5,1.0,0.5,non-bankruptcy,1,0.8333333333333334,0.0,1.5,0.5,0.8500000000000001,0.2727272727272727,0.0,0.5,0.3333333333333333,0.0,0.25
0.5,1.0,0.5,1.0,1.0,0.5,non-bankruptcy,1,0.8333333333333334,0.4,0.75,0.28867513459481287,0.8,0.3636363636363636,1.6666666666666667,0.375,0.3333333333333333,0.8333333333333334,0.14433756729740643
0.5,0.0,1.0,0.5,0.5,0.5,non-bankruptcy,1,0.6666666666666666,0.0,1.5,0.2886751345948129,0.7000000000000001,0.2,0.0,0.375,0.0,0.0,0.14433756729740646
0.5,0.5,0.5,1.0,0.5,0.0,non-bankruptcy,1,0.6666666666666666,0.2,1.0,0.2886751345948129,0.65,0.2,0.8333333333333334,0.5,0.0,0.3333333333333333,0.0
0.5,0.5,0.5,0.5,1.0,1.0,non-bankruptcy,1,0.6666666666666666,0.25,0.6666666666666666,0.28867513459481287,0.6499999999999999,0.4,0.8333333333333334,0.0,0.3333333333333333,0.3333333333333333,0.28867513459481287
1.0,0.5,1.0,1.0,1.0,1.0,non-bankruptcy,1,1.0,0.16666666666666666,1.3333333333333333,0.28867513459481287,1.0,0.4166666666666667,0.45454545454545453,0.0,0.6666666666666666,0.5,0.28867513459481287
0.5,1.0,1.0,0.5,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.4,0.75,0.28867513459481287,0.8500000000000001,0.45454545454545453,0.9090909090909091,0.0,0.6666666666666666,0.8333333333333334,0.28867513459481287
0.5,0.0,1.0,0.5,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.0,1.5,0.5,0.8500000000000001,0.2727272727272727,0.0,0.0,0.3333333333333333,0.0,0.5
1.0,1.0,1.0,0.5,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.4,0.75,0.5773502691896258,0.8500000000000001,0.3636363636363636,0.9090909090909091,1.0,0.6666666666666666,0.8333333333333334,0.0
1.0,1.0,1.0,1.0,1.0,0.0,non-bankruptcy,1,1.0,0.3333333333333333,1.0,0.5773502691896258,1.0,0.3333333333333333,0.9090909090909091,1.0,0.6666666666666666,1.0,0.0
0.0,0.5,1.0,1.0,1.0,1.0,non-bankruptcy,1,1.0,0.16666666666666666,1.3333333333333333,0.5,1.0,0.25,0.45454545454545453,0.0,0.3333333333333333,0.5,0.5
0.5,0.0,1.0,1.0,1.0,1.0,non-bankruptcy,1,1.0,0.0,2.0,0.5,1.0,0.25,0.0,0.0,0.3333333333333333,0.0,0.5
0.5,1.0,0.0,0.5,1.0,0.0,non-bankruptcy,1,0.5,0.6666666666666666,0.25,0.5,0.44999999999999996,0.3333333333333333,10.0,0.5,0.3333333333333333,0.5,0.0
0.5,0.0,1.0,0.5,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.0,1.5,0.2886751345948129,0.8500000000000001,0.0909090909090909,0.0,1.0,0.0,0.0,0.0
0.0,0.5,1.0,0.5,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.2,1.0,0.5,0.8500000000000001,0.2727272727272727,0.45454545454545453,0.0,0.3333333333333333,0.4166666666666667,0.5
0.5,1.0,0.5,0.5,1.0,0.0,non-bankruptcy,1,0.6666666666666666,0.5,0.5,0.5,0.6499999999999999,0.30000000000000004,1.6666666666666667,0.75,0.3333333333333333,0.6666666666666666,0.0
0.5,1.0,0.5,0.5,1.0,1.0,non-bankruptcy,1,0.6666666666666666,0.5,0.5,0.28867513459481287,0.6499999999999999,0.5000000000000001,1.6666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.28867513459481287
0.5,1.0,0.5,0.5,1.0,0.5,non-bankruptcy,1,0.6666666666666666,0.5,0.5,0.28867513459481287,0.6499999999999999,0.4,1.6666666666666667,0.375,0.3333333333333333,0.6666666666666666,0.14433756729740643
0.5,0.5,0.0,1.0,1.0,0.5,non-bankruptcy,1,0.6666666666666666,0.25,0.6666666666666666,0.0,0.6,0.30000000000000004,5.0,0.25,0.0,0.3333333333333333,0.0
0.5,0.5,0.0,1.0,1.0,0.0,non-bankruptcy,1,0.6666666666666666,0.25,0.6666666666666666,0.2886751345948129,0.6,0.2,5.0,0.5,0.0,0.3333333333333333,0.0
0.5,0.0,1.0,1.0,1.0,0.0,non-bankruptcy,1,1.0,0.0,2.0,0.2886751345948129,1.0,0.08333333333333333,0.0,1.0,0.0,0.0,0.0
0.5,0.0,0.5,0.5,0.5,0.0,non-bankruptcy,1,0.5,0.0,1.0,0.2886751345948129,0.5,0.1111111111111111,0.0,0.5,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,0.5,non-bankruptcy,1,0.6666666666666666,0.0,1.0,0.5,0.6,0.30000000000000004,0.0,0.25,0.3333333333333333,0.0,0.25
1.0,1.0,1.0,1.0,1.0,0.5,non-bankruptcy,1,1.0,0.3333333333333333,1.0,0.28867513459481287,1.0,0.4166666666666667,0.9090909090909091,0.5,0.6666666666666666,1.0,0.14433756729740643
0.5,0.5,0.5,1.0,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.2,1.0,0.2886751345948129,0.8,0.1818181818181818,0.8333333333333334,0.75,0.0,0.4166666666666667,0.0
0.0,0.5,0.5,1.0,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.2,1.0,0.2886751345948129,0.8,0.0909090909090909,0.8333333333333334,0.75,0.0,0.4166666666666667,0.0
0.5,1.0,0.0,1.0,1.0,0.5,non-bankruptcy,1,0.6666666666666666,0.5,0.5,0.28867513459481287,0.6,0.4,10.0,0.25,0.3333333333333333,0.6666666666666666,0.14433756729740643
0.0,1.0,0.0,1.0,1.0,0.5,non-bankruptcy,1,0.6666666666666666,0.5,0.5,0.5,0.6,0.30000000000000004,10.0,0.25,0.3333333333333333,0.6666666666666666,0.25
0.0,0.5,1.0,0.0,1.0,1.0,non-bankruptcy,1,0.6666666666666666,0.25,0.6666666666666666,0.5,0.7,0.30000000000000004,0.45454545454545453,0.0,0.3333333333333333,0.3333333333333333,0.5
0.0,0.5,0.0,0.5,1.0,1.0,non-bankruptcy,1,0.5,0.3333333333333333,0.3333333333333333,0.5,0.44999999999999996,0.3333333333333333,5.0,0.0,0.3333333333333333,0.25,0.5
0.0,0.0,1.0,0.5,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.0,1.5,0.5773502691896258,0.8500000000000001,0.1818181818181818,0.0,0.0,0.3333333333333333,0.0,0.5773502691896258
0.0,0.5,0.5,1.0,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.2,1.0,0.5,0.8,0.2727272727272727,0.8333333333333334,0.0,0.3333333333333333,0.4166666666666667,0.5
0.0,0.5,1.0,0.5,1.0,0.0,non-bankruptcy,1,0.8333333333333334,0.2,1.0,0.2886751345948129,0.8500000000000001,0.0909090909090909,0.45454545454545453,1.0,0.0,0.4166666666666667,0.0
0.0,0.0,0.5,0.5,1.0,1.0,non-bankruptcy,1,0.6666666666666666,0.0,1.0,0.5773502691896258,0.6499999999999999,0.2,0.0,0.0,0.3333333333333333,0.0,0.5773502691896258
0.5,0.5,0.5,0.5,0.5,0.0,non-bankruptcy,1,0.5,0.25,0.6666666666666666,0.2886751345948129,0.5,0.2222222222222222,0.8333333333333334,0.5,0.0,0.25,0.0
0.0,0.0,0.5,1.0,1.0,1.0,non-bankruptcy,1,0.8333333333333334,0.0,1.5,0.5773502691896258,0.8,0.1818181818181818,0.0,0.0,0.3333333333333333,0.0,0.5773502691896258
0.5,0.0,0.0,1.0,0.5,0.0,non-bankruptcy,1,0.5,0.0,1.0,0.2886751345948129,0.44999999999999996,0.1111111111111111,0.0,0.25,0.0,0.0,0.0
0.5,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1,0.6666666666666666,0.0,1.5,0.2886751345948129,0.65,0.1,0.0,0.5,0.0,0.0,0.0
0.0,0.5,0.0,0.5,1.0,0.5,non-bankruptcy,1,0.5,0.3333333333333333,0.3333333333333333,0.2886751345948129,0.44999999999999996,0.2222222222222222,5.0,0.25,0.0,0.25,0.14433756729740646
0.0,0.5,0.5,0.5,1.0,0.5,non-bankruptcy,1,0.6666666666666666,0.25,0.6666666666666666,0.2886751345948129,0.6499999999999999,0.2,0.8333333333333334,0.375,0.0,0.3333333333333333,0.14433756729740646
0.0,0.5,0.5,0.0,1.0,0.0,non-bankruptcy,1,0.5,0.3333333333333333,0.3333333333333333,0.2886751345948129,0.5,0.1111111111111111,0.8333333333333334,0.75,0.0,0.25,0.0
0.5,1.0,0.0,0.0,1.0,0.0,non-bankruptcy,1,0.3333333333333333,1.0,0.0,0.5,0.3,0.375,10.0,0.5,0.3333333333333333,0.3333333333333333,0.0
0.0,1.0,0.5,0.0,0.5,0.0,non-bankruptcy,1,0.3333333333333333,0.6666666666666666,0.25,0.5773502691896258,0.35,0.25,1.6666666666666667,0.5,0.3333333333333333,0.3333333333333333,0.0
